"l","a","b","u"
0.49,-0.2488,-0.372,0.526998591985992
0.59,-0.2488,-0.372,0.229960405996283
0.69,-0.2488,-0.372,0.392411929025377
0.79,-0.2488,-0.372,1.39997446751173
0.89,-0.2488,-0.372,2.91988993752305
0.09,-0.1488,-0.372,3.56862045585164
0.19,-0.1488,-0.372,2.67810924164932
0.29,-0.1488,-0.372,1.95921368050593
0.39,-0.1488,-0.372,1.51753367070975
0.49,-0.1488,-0.372,1.19460609146633
0.59,-0.1488,-0.372,0.897567905476623
0.69,-0.1488,-0.372,1.06001942850572
0.79,-0.1488,-0.372,2.06758196699207
0.89,-0.1488,-0.372,3.58749743700339
0.09,-0.0488,-0.372,4.29594108111265
0.19,-0.0488,-0.372,3.40542986691033
0.29,-0.0488,-0.372,2.68653430576694
0.39,-0.0488,-0.372,2.24485429597076
0.49,-0.0488,-0.372,1.92192671672734
0.59,-0.0488,-0.372,1.62488853073763
0.69,-0.0488,-0.372,1.78734005376673
0.79,-0.0488,-0.372,2.79490259225308
0.89,-0.0488,-0.372,4.3148180622644
0.09,0.0512,-0.372,4.92125315099335
0.19,0.0512,-0.372,4.03074193679102
0.29,0.0512,-0.372,3.31184637564764
0.39,0.0512,-0.372,2.87016636585145
0.49,0.0512,-0.372,2.54723878660804
0.59,0.0512,-0.372,2.25020060061833
0.69,0.0512,-0.372,2.41265212364742
0.79,0.0512,-0.372,3.42021466213378
0.89,0.0512,-0.372,4.9401301321451
0.09,0.1512,-0.372,5.29585449752116
0.19,0.1512,-0.372,4.40534328331883
0.29,0.1512,-0.372,3.68644772217544
0.39,0.1512,-0.372,3.24476771237926
0.49,0.1512,-0.372,2.92184013313585
0.59,0.1512,-0.372,2.62480194714614
0.69,0.1512,-0.372,2.78725347017523
0.79,0.1512,-0.372,3.79481600866158
0.89,0.1512,-0.372,5.31473147867291
0.09,0.2512,-0.372,5.32312100547709
0.19,0.2512,-0.372,4.43260979127477
0.29,0.2512,-0.372,3.71371423013138
0.39,0.2512,-0.372,3.2720342203352
0.49,0.2512,-0.372,2.94910664109178
0.59,0.2512,-0.372,2.65206845510207
0.69,0.2512,-0.372,2.81451997813117
0.79,0.2512,-0.372,3.82208251661752
0.89,0.2512,-0.372,5.34199798662884
0.09,0.3512,-0.372,4.91944807283058
0.19,0.3512,-0.372,4.02893685862826
0.29,0.3512,-0.372,3.31004129748487
0.39,0.3512,-0.372,2.86836128768869
0.49,0.3512,-0.372,2.54543370844527
0.59,0.3512,-0.372,2.24839552245556
0.69,0.3512,-0.372,2.41084704548466
0.79,0.3512,-0.372,3.41840958397101
0.89,0.3512,-0.372,4.93832505398233
0.09,0.4512,-0.372,4.05804386810889
0.19,0.4512,-0.372,3.16753265390657
0.29,0.4512,-0.372,2.44863709276318
0.39,0.4512,-0.372,2.006957082967
0.49,0.4512,-0.372,1.68402950372358
0.59,0.4512,-0.372,1.38699131773387
0.69,0.4512,-0.372,1.54944284076297
0.79,0.4512,-0.372,2.55700537924932
0.89,0.4512,-0.372,4.07692084926065
0.09,0.5512,-0.372,2.93936764207069
0.19,0.5512,-0.372,2.04885642786837
0.29,0.5512,-0.372,1.32996086672498
0.39,0.5512,-0.372,0.888280856928799
0.49,0.5512,-0.372,0.565353277685385
0.59,0.5512,-0.372,0.268315091695676
0.69,0.5512,-0.372,0.43076661472477
0.79,0.5512,-0.372,1.43832915321112
0.89,0.5512,-0.372,2.95824462322245
0.09,-0.4488,-0.272,3.23210421658026
0.19,-0.4488,-0.272,2.34159300237794
0.29,-0.4488,-0.272,1.62269744123455
0.39,-0.4488,-0.272,1.18101743143837
0.49,-0.4488,-0.272,0.858089852194954
0.59,-0.4488,-0.272,0.561051666205245
0.69,-0.4488,-0.272,0.723503189234339
0.79,-0.4488,-0.272,1.73106572772069
0.89,-0.4488,-0.272,3.25098119773202
0.09,-0.3488,-0.272,3.61296601975343
0.19,-0.3488,-0.272,2.72245480555111
0.29,-0.3488,-0.272,2.00355924440772
0.39,-0.3488,-0.272,1.56187923461154
0.49,-0.3488,-0.272,1.23895165536812
0.59,-0.3488,-0.272,0.941913469378412
0.69,-0.3488,-0.272,1.10436499240751
0.79,-0.3488,-0.272,2.11192753089386
0.89,-0.3488,-0.272,3.63184300090518
0.09,-0.2488,-0.272,4.10454522639742
0.19,-0.2488,-0.272,3.2140340121951
0.29,-0.2488,-0.272,2.49513845105171
0.39,-0.2488,-0.272,2.05345844125553
0.49,-0.2488,-0.272,1.73053086201211
0.59,-0.2488,-0.272,1.4334926760224
0.69,-0.2488,-0.272,1.5959441990515
0.79,-0.2488,-0.272,2.60350673753785
0.89,-0.2488,-0.272,4.12342220754917
0.09,-0.1488,-0.272,4.77215272587776
0.19,-0.1488,-0.272,3.88164151167544
0.29,-0.1488,-0.272,3.16274595053205
0.39,-0.1488,-0.272,2.72106594073587
0.49,-0.1488,-0.272,2.39813836149245
0.59,-0.1488,-0.272,2.10110017550274
0.69,-0.1488,-0.272,2.26355169853184
0.79,-0.1488,-0.272,3.27111423701819
0.89,-0.1488,-0.272,4.79102970702951
0.09,-0.0488,-0.272,5.49947335113877
0.19,-0.0488,-0.272,4.60896213693645
0.29,-0.0488,-0.272,3.89006657579306
0.39,-0.0488,-0.272,3.44838656599688
0.49,-0.0488,-0.272,3.12545898675346
0.59,-0.0488,-0.272,2.82842080076375
0.69,-0.0488,-0.272,2.99087232379285
0.79,-0.0488,-0.272,3.9984348622792
0.89,-0.0488,-0.272,5.51835033229052
0.09,0.0512,-0.272,6.12478542101947
0.19,0.0512,-0.272,5.23427420681715
0.29,0.0512,-0.272,4.51537864567376
0.39,0.0512,-0.272,4.07369863587757
0.49,0.0512,-0.272,3.75077105663416
0.59,0.0512,-0.272,3.45373287064445
0.69,0.0512,-0.272,3.61618439367354
0.79,0.0512,-0.272,4.6237469321599
0.89,0.0512,-0.272,6.14366240217122
0.09,0.1512,-0.272,6.49938676754728
0.19,0.1512,-0.272,5.60887555334495
0.29,0.1512,-0.272,4.88997999220156
0.39,0.1512,-0.272,4.44829998240538
0.49,0.1512,-0.272,4.12537240316197
0.59,0.1512,-0.272,3.82833421717226
0.69,0.1512,-0.272,3.99078574020135
0.79,0.1512,-0.272,4.9983482786877
0.89,0.1512,-0.272,6.51826374869903
0.09,0.2512,-0.272,6.52665327550321
0.19,0.2512,-0.272,5.63614206130089
0.29,0.2512,-0.272,4.9172465001575
0.39,0.2512,-0.272,4.47556649036132
0.49,0.2512,-0.272,4.1526389111179
0.59,0.2512,-0.272,3.85560072512819
0.69,0.2512,-0.272,4.01805224815729
0.79,0.2512,-0.272,5.02561478664364
0.89,0.2512,-0.272,6.54553025665496
0.09,0.3512,-0.272,6.1229803428567
0.19,0.3512,-0.272,5.23246912865438
0.29,0.3512,-0.272,4.51357356751099
0.39,0.3512,-0.272,4.07189355771481
0.49,0.3512,-0.272,3.74896597847139
0.59,0.3512,-0.272,3.45192779248168
0.69,0.3512,-0.272,3.61437931551078
0.79,0.3512,-0.272,4.62194185399713
0.89,0.3512,-0.272,6.14185732400845
0.09,0.4512,-0.272,5.26157613813501
0.19,0.4512,-0.272,4.37106492393269
0.29,0.4512,-0.272,3.6521693627893
0.39,0.4512,-0.272,3.21048935299312
0.49,0.4512,-0.272,2.8875617737497
0.59,0.4512,-0.272,2.59052358776
0.69,0.4512,-0.272,2.75297511078909
0.79,0.4512,-0.272,3.76053764927544
0.89,0.4512,-0.272,5.28045311928677
0.09,0.5512,-0.272,4.14289991209681
0.19,0.5512,-0.272,3.25238869789449
0.29,0.5512,-0.272,2.5334931367511
0.39,0.5512,-0.272,2.09181312695492
0.49,0.5512,-0.272,1.76888554771151
0.59,0.5512,-0.272,1.4718473617218
0.69,0.5512,-0.272,1.63429888475089
0.79,0.5512,-0.272,2.64186142323724
0.89,0.5512,-0.272,4.16177689324857
0.09,-0.4488,-0.172,3.09381062131542
0.19,-0.4488,-0.172,2.2032994071131
0.29,-0.4488,-0.172,1.48440384596971
0.39,-0.4488,-0.172,1.04272383617353
0.49,-0.4488,-0.172,0.719796256930114
0.59,-0.4488,-0.172,0.422758070940405
0.69,-0.4488,-0.172,0.585209593969499
0.79,-0.4488,-0.172,1.59277213245585
0.89,-0.4488,-0.172,3.11268760246718
0.09,-0.3488,-0.172,3.47467242448859
0.19,-0.3488,-0.172,2.58416121028627
0.29,-0.3488,-0.172,1.86526564914288
0.39,-0.3488,-0.172,1.42358563934669
0.49,-0.3488,-0.172,1.10065806010328
0.59,-0.3488,-0.172,0.803619874113571
0.69,-0.3488,-0.172,0.966071397142665
0.79,-0.3488,-0.172,1.97363393562902
0.89,-0.3488,-0.172,3.49354940564034
0.09,-0.2488,-0.172,3.96625163113258
0.19,-0.2488,-0.172,3.07574041693026
0.29,-0.2488,-0.172,2.35684485578687
0.39,-0.2488,-0.172,1.91516484599069
0.49,-0.2488,-0.172,1.59223726674727
0.59,-0.2488,-0.172,1.29519908075756
0.69,-0.2488,-0.172,1.45765060378666
0.79,-0.2488,-0.172,2.46521314227301
0.89,-0.2488,-0.172,3.98512861228433
0.09,-0.1488,-0.172,4.63385913061292
0.19,-0.1488,-0.172,3.7433479164106
0.29,-0.1488,-0.172,3.02445235526721
0.39,-0.1488,-0.172,2.58277234547103
0.49,-0.1488,-0.172,2.25984476622761
0.59,-0.1488,-0.172,1.9628065802379
0.69,-0.1488,-0.172,2.125258103267
0.79,-0.1488,-0.172,3.13282064175335
0.89,-0.1488,-0.172,4.65273611176467
0.09,-0.0488,-0.172,5.36117975587393
0.19,-0.0488,-0.172,4.47066854167161
0.29,-0.0488,-0.172,3.75177298052822
0.39,-0.0488,-0.172,3.31009297073204
0.49,-0.0488,-0.172,2.98716539148862
0.59,-0.0488,-0.172,2.69012720549891
0.69,-0.0488,-0.172,2.85257872852801
0.79,-0.0488,-0.172,3.86014126701436
0.89,-0.0488,-0.172,5.38005673702568
0.09,0.0512,-0.172,5.98649182575463
0.19,0.0512,-0.172,5.0959806115523
0.29,0.0512,-0.172,4.37708505040892
0.39,0.0512,-0.172,3.93540504061273
0.49,0.0512,-0.172,3.61247746136932
0.59,0.0512,-0.172,3.31543927537961
0.69,0.0512,-0.172,3.4778907984087
0.79,0.0512,-0.172,4.48545333689506
0.89,0.0512,-0.172,6.00536880690638
0.09,0.1512,-0.172,6.36109317228244
0.19,0.1512,-0.172,5.47058195808011
0.29,0.1512,-0.172,4.75168639693672
0.39,0.1512,-0.172,4.31000638714054
0.49,0.1512,-0.172,3.98707880789713
0.59,0.1512,-0.172,3.69004062190742
0.69,0.1512,-0.172,3.85249214493651
0.79,0.1512,-0.172,4.86005468342286
0.89,0.1512,-0.172,6.37997015343419
0.09,0.2512,-0.172,6.38835968023837
0.19,0.2512,-0.172,5.49784846603605
0.29,0.2512,-0.172,4.77895290489266
0.39,0.2512,-0.172,4.33727289509648
0.49,0.2512,-0.172,4.01434531585306
0.59,0.2512,-0.172,3.71730712986335
0.69,0.2512,-0.172,3.87975865289245
0.79,0.2512,-0.172,4.8873211913788
0.89,0.2512,-0.172,6.40723666139012
0.09,0.3512,-0.172,5.98468674759186
0.19,0.3512,-0.172,5.09417553338954
0.29,0.3512,-0.172,4.37527997224615
0.39,0.3512,-0.172,3.93359996244997
0.49,0.3512,-0.172,3.61067238320655
0.59,0.3512,-0.172,3.31363419721684
0.69,0.3512,-0.172,3.47608572024594
0.79,0.3512,-0.172,4.48364825873229
0.89,0.3512,-0.172,6.00356372874361
0.09,0.4512,-0.172,5.12328254287017
0.19,0.4512,-0.172,4.23277132866785
0.29,0.4512,-0.172,3.51387576752446
0.39,0.4512,-0.172,3.07219575772828
0.49,0.4512,-0.172,2.74926817848486
0.59,0.4512,-0.172,2.45222999249515
0.69,0.4512,-0.172,2.61468151552425
0.79,0.4512,-0.172,3.6222440540106
0.89,0.4512,-0.172,5.14215952402193
0.09,0.5512,-0.172,4.00460631683197
0.19,0.5512,-0.172,3.11409510262965
0.29,0.5512,-0.172,2.39519954148626
0.39,0.5512,-0.172,1.95351953169008
0.49,0.5512,-0.172,1.63059195244666
0.59,0.5512,-0.172,1.33355376645696
0.69,0.5512,-0.172,1.49600528948605
0.79,0.5512,-0.172,2.5035678279724
0.89,0.5512,-0.172,4.02348329798373
0.09,-0.4488,-0.072,2.32991892305702
0.19,-0.4488,-0.072,1.4394077088547
0.29,-0.4488,-0.072,0.720512147711313
0.39,-0.4488,-0.072,0.278832137915129
0.49,-0.4488,-0.072,-0.0440954413282855
0.59,-0.4488,-0.072,-0.341133627317995
0.69,-0.4488,-0.072,-0.1786821042889
0.79,-0.4488,-0.072,0.828880434197452
0.89,-0.4488,-0.072,2.34879590420878
0.09,-0.3488,-0.072,2.71078072623019
0.19,-0.3488,-0.072,1.82026951202787
0.29,-0.3488,-0.072,1.10137395088448
0.39,-0.3488,-0.072,0.659693941088295
0.49,-0.3488,-0.072,0.336766361844881
0.59,-0.3488,-0.072,0.039728175855172
0.69,-0.3488,-0.072,0.202179698884266
0.79,-0.3488,-0.072,1.20974223737062
0.89,-0.3488,-0.072,2.72965770738194
0.09,-0.2488,-0.072,3.20235993287418
0.19,-0.2488,-0.072,2.31184871867186
0.29,-0.2488,-0.072,1.59295315752847
0.39,-0.2488,-0.072,1.15127314773229
0.49,-0.2488,-0.072,0.828345568488873
0.59,-0.2488,-0.072,0.531307382499163
0.69,-0.2488,-0.072,0.693758905528258
0.79,-0.2488,-0.072,1.70132144401461
0.89,-0.2488,-0.072,3.22123691402593
0.09,-0.1488,-0.072,3.86996743235452
0.19,-0.1488,-0.072,2.9794562181522
0.29,-0.1488,-0.072,2.26056065700881
0.39,-0.1488,-0.072,1.81888064721263
0.49,-0.1488,-0.072,1.49595306796921
0.59,-0.1488,-0.072,1.1989148819795
0.69,-0.1488,-0.072,1.3613664050086
0.79,-0.1488,-0.072,2.36892894349495
0.89,-0.1488,-0.072,3.88884441350627
0.09,-0.0488,-0.072,4.59728805761553
0.19,-0.0488,-0.072,3.70677684341321
0.29,-0.0488,-0.072,2.98788128226982
0.39,-0.0488,-0.072,2.54620127247364
0.49,-0.0488,-0.072,2.22327369323022
0.59,-0.0488,-0.072,1.92623550724051
0.69,-0.0488,-0.072,2.08868703026961
0.79,-0.0488,-0.072,3.09624956875596
0.89,-0.0488,-0.072,4.61616503876728
0.09,0.0512,-0.072,5.22260012749623
0.19,0.0512,-0.072,4.33208891329391
0.29,0.0512,-0.072,3.61319335215052
0.39,0.0512,-0.072,3.17151334235433
0.49,0.0512,-0.072,2.84858576311092
0.59,0.0512,-0.072,2.55154757712121
0.69,0.0512,-0.072,2.71399910015031
0.79,0.0512,-0.072,3.72156163863666
0.89,0.0512,-0.072,5.24147710864798
0.09,0.1512,-0.072,5.59720147402404
0.19,0.1512,-0.072,4.70669025982171
0.29,0.1512,-0.072,3.98779469867833
0.39,0.1512,-0.072,3.54611468888214
0.49,0.1512,-0.072,3.22318710963873
0.59,0.1512,-0.072,2.92614892364902
0.69,0.1512,-0.072,3.08860044667811
0.79,0.1512,-0.072,4.09616298516446
0.89,0.1512,-0.072,5.61607845517579
0.09,0.2512,-0.072,5.62446798197997
0.19,0.2512,-0.072,4.73395676777765
0.29,0.2512,-0.072,4.01506120663426
0.39,0.2512,-0.072,3.57338119683808
0.49,0.2512,-0.072,3.25045361759466
0.59,0.2512,-0.072,2.95341543160495
0.69,0.2512,-0.072,3.11586695463405
0.79,0.2512,-0.072,4.1234294931204
0.89,0.2512,-0.072,5.64334496313172
0.09,0.3512,-0.072,5.22079504933346
0.19,0.3512,-0.072,4.33028383513114
0.29,0.3512,-0.072,3.61138827398775
0.39,0.3512,-0.072,3.16970826419157
0.49,0.3512,-0.072,2.84678068494815
0.59,0.3512,-0.072,2.54974249895844
0.69,0.3512,-0.072,2.71219402198754
0.79,0.3512,-0.072,3.71975656047389
0.89,0.3512,-0.072,5.23967203048521
0.09,0.4512,-0.072,4.35939084461177
0.19,0.4512,-0.072,3.46887963040945
0.29,0.4512,-0.072,2.74998406926606
0.39,0.4512,-0.072,2.30830405946988
0.49,0.4512,-0.072,1.98537648022646
0.59,0.4512,-0.072,1.68833829423676
0.69,0.4512,-0.072,1.85078981726585
0.79,0.4512,-0.072,2.8583523557522
0.89,0.4512,-0.072,4.37826782576353
0.09,0.5512,-0.072,3.24071461857358
0.19,0.5512,-0.072,2.35020340437125
0.29,0.5512,-0.072,1.63130784322786
0.39,0.5512,-0.072,1.18962783343168
0.49,0.5512,-0.072,0.866700254188266
0.59,0.5512,-0.072,0.569662068198556
0.69,0.5512,-0.072,0.732113591227651
0.79,0.5512,-0.072,1.739676129714
0.89,0.5512,-0.072,3.25959159972533
0.09,-0.4488,0.028,1.93363792992493
0.19,-0.4488,0.028,1.0431267157226
0.29,-0.4488,0.028,0.324231154579216
0.39,-0.4488,0.028,-0.117448855216968
0.49,-0.4488,0.028,-0.440376434460383
0.59,-0.4488,0.028,-0.737414620450092
0.69,-0.4488,0.028,-0.574963097420998
0.79,-0.4488,0.028,0.432599441065355
0.89,-0.4488,0.028,1.95251491107668
0.09,-0.3488,0.028,2.31449973309809
0.19,-0.3488,0.028,1.42398851889577
0.29,-0.3488,0.028,0.705092957752382
0.39,-0.3488,0.028,0.263412947956198
0.49,-0.3488,0.028,-0.0595146312872163
0.59,-0.3488,0.028,-0.356552817276925
0.69,-0.3488,0.028,-0.194101294247831
0.79,-0.3488,0.028,0.813461244238522
0.89,-0.3488,0.028,2.33337671424984
