"l","a","b","u"
0.29,-0.2488,-0.372,-1.21345858160214
0.39,-0.2488,-0.372,-1.46767324093578
0.49,-0.2488,-0.372,-1.35683841532291
0.59,-0.2488,-0.372,-1.45029720042751
0.69,-0.2488,-0.372,-1.35401203580503
0.79,-0.2488,-0.372,-0.607632873912285
0.89,-0.2488,-0.372,0.551059625079842
0.09,-0.1488,-0.372,2.54514223634121
0.19,-0.1488,-0.372,0.761038815386068
0.29,-0.1488,-0.372,-0.435445733250247
0.39,-0.1488,-0.372,-0.689660392583895
0.49,-0.1488,-0.372,-0.57882556697102
0.59,-0.1488,-0.372,-0.672284352075618
0.69,-0.1488,-0.372,-0.575999187453138
0.79,-0.1488,-0.372,0.170379974439603
0.89,-0.1488,-0.372,1.32907247343173
0.09,-0.0488,-0.372,3.31615585017079
0.19,-0.0488,-0.372,1.53205242921565
0.29,-0.0488,-0.372,0.335567880579334
0.39,-0.0488,-0.372,0.0813532212456866
0.49,-0.0488,-0.372,0.192188046858562
0.59,-0.0488,-0.372,0.0987292617539629
0.69,-0.0488,-0.372,0.195014426376443
0.79,-0.0488,-0.372,0.941393588269185
0.89,-0.0488,-0.372,2.10008608726131
0.09,0.0512,-0.372,3.77318570978341
0.19,0.0512,-0.372,1.98908228882827
0.29,0.0512,-0.372,0.792597740191951
0.39,0.0512,-0.372,0.538383080858304
0.49,0.0512,-0.372,0.649217906471179
0.59,0.0512,-0.372,0.55575912136658
0.69,0.0512,-0.372,0.652044285989061
0.79,0.0512,-0.372,1.3984234478818
0.89,0.0512,-0.372,2.55711594687393
0.09,0.1512,-0.372,3.71038833604725
0.19,0.1512,-0.372,1.9262849150921
0.29,0.1512,-0.372,0.729800366455788
0.39,0.1512,-0.372,0.47558570712214
0.49,0.1512,-0.372,0.586420532735015
0.59,0.1512,-0.372,0.492961747630417
0.69,0.1512,-0.372,0.589246912252897
0.79,0.1512,-0.372,1.33562607414564
0.89,0.1512,-0.372,2.49431857313777
0.09,0.2512,-0.372,3.32648441208186
0.19,0.2512,-0.372,1.54238099112672
0.29,0.2512,-0.372,0.345896442490402
0.39,0.2512,-0.372,0.0916817831567548
0.49,0.2512,-0.372,0.20251660876963
0.59,0.2512,-0.372,0.109057823665031
0.69,0.2512,-0.372,0.205342988287512
0.79,0.2512,-0.372,0.951722150180253
0.89,0.2512,-0.372,2.11041464917238
0.09,0.3512,-0.372,2.92133566156965
0.19,0.3512,-0.372,1.1372322406145
0.29,0.3512,-0.372,-0.0592523080218107
0.39,0.3512,-0.372,-0.313466967355458
0.49,0.3512,-0.372,-0.202632141742583
0.59,0.3512,-0.372,-0.296090926847182
0.69,0.3512,-0.372,-0.199805762224701
0.79,0.3512,-0.372,0.54657339966804
0.89,0.3512,-0.372,1.70526589866017
0.09,0.4512,-0.372,2.72160877948465
0.19,0.4512,-0.372,0.937505358529501
0.29,0.4512,-0.372,-0.258979190106814
0.39,0.4512,-0.372,-0.513193849440461
0.49,0.4512,-0.372,-0.402359023827586
0.59,0.4512,-0.372,-0.495817808932185
0.69,0.4512,-0.372,-0.399532644309704
0.79,0.4512,-0.372,0.346846517583037
0.89,0.4512,-0.372,1.50553901657516
0.09,0.5512,-0.372,2.66119034596743
0.19,0.5512,-0.372,0.877086925012285
0.29,0.5512,-0.372,-0.31939762362403
0.39,0.5512,-0.372,-0.573612282957677
0.49,0.5512,-0.372,-0.462777457344802
0.59,0.5512,-0.372,-0.556236242449401
0.69,0.5512,-0.372,-0.45995107782692
0.79,0.5512,-0.372,0.286428084065821
0.89,0.5512,-0.372,1.44512058305795
0.09,-0.4488,-0.272,1.31245338019251
0.19,-0.4488,-0.272,-0.471650040762635
0.29,-0.4488,-0.272,-1.66813458939895
0.39,-0.4488,-0.272,-1.9223492487326
0.49,-0.4488,-0.272,-1.81151442311972
0.59,-0.4488,-0.272,-1.90497320822432
0.69,-0.4488,-0.272,-1.80868804360184
0.79,-0.4488,-0.272,-1.0623088817091
0.89,-0.4488,-0.272,0.0963836172830268
0.09,-0.3488,-0.272,1.71665116116601
0.19,-0.3488,-0.272,-0.0674522597891376
0.29,-0.3488,-0.272,-1.26393680842545
0.39,-0.3488,-0.272,-1.5181514677591
0.49,-0.3488,-0.272,-1.40731664214622
0.59,-0.3488,-0.272,-1.50077542725082
0.69,-0.3488,-0.272,-1.40449026262834
0.79,-0.3488,-0.272,-0.658111100735602
0.89,-0.3488,-0.272,0.500581398256524
0.09,-0.2488,-0.272,2.27084158472568
0.19,-0.2488,-0.272,0.486738163770537
0.29,-0.2488,-0.272,-0.709746384865778
0.39,-0.2488,-0.272,-0.963961044199426
0.49,-0.2488,-0.272,-0.853126218586551
0.59,-0.2488,-0.272,-0.946585003691149
0.69,-0.2488,-0.272,-0.850299839068669
0.79,-0.2488,-0.272,-0.103920677175928
0.89,-0.2488,-0.272,1.0547718218162
0.09,-0.1488,-0.272,3.04885443307757
0.19,-0.1488,-0.272,1.26475101212242
0.29,-0.1488,-0.272,0.0682664634861094
0.39,-0.1488,-0.272,-0.185948195847538
0.49,-0.1488,-0.272,-0.0751133702346629
0.59,-0.1488,-0.272,-0.168572155339262
0.69,-0.1488,-0.272,-0.0722869907167811
0.79,-0.1488,-0.272,0.67409217117596
0.89,-0.1488,-0.272,1.83278467016809
0.09,-0.0488,-0.272,3.81986804690715
0.19,-0.0488,-0.272,2.03576462595201
0.29,-0.0488,-0.272,0.839280077315691
0.39,-0.0488,-0.272,0.585065417982043
0.49,-0.0488,-0.272,0.695900243594918
0.59,-0.0488,-0.272,0.60244145849032
0.69,-0.0488,-0.272,0.6987266231128
0.79,-0.0488,-0.272,1.44510578500554
0.89,-0.0488,-0.272,2.60379828399767
0.09,0.0512,-0.272,4.27689790651977
0.19,0.0512,-0.272,2.49279448556462
0.29,0.0512,-0.272,1.29630993692831
0.39,0.0512,-0.272,1.04209527759466
0.49,0.0512,-0.272,1.15293010320754
0.59,0.0512,-0.272,1.05947131810294
0.69,0.0512,-0.272,1.15575648272542
0.79,0.0512,-0.272,1.90213564461816
0.89,0.0512,-0.272,3.06082814361029
0.09,0.1512,-0.272,4.2141005327836
0.19,0.1512,-0.272,2.42999711182846
0.29,0.1512,-0.272,1.23351256319214
0.39,0.1512,-0.272,0.979297903858497
0.49,0.1512,-0.272,1.09013272947137
0.59,0.1512,-0.272,0.996673944366774
0.69,0.1512,-0.272,1.09295910898925
0.79,0.1512,-0.272,1.839338270882
0.89,0.1512,-0.272,2.99803076987412
0.09,0.2512,-0.272,3.83019660881822
0.19,0.2512,-0.272,2.04609318786307
0.29,0.2512,-0.272,0.849608639226759
0.39,0.2512,-0.272,0.595393979893112
0.49,0.2512,-0.272,0.706228805505987
0.59,0.2512,-0.272,0.612770020401388
0.69,0.2512,-0.272,0.709055185023868
0.79,0.2512,-0.272,1.45543434691661
0.89,0.2512,-0.272,2.61412684590874
0.09,0.3512,-0.272,3.425047858306
0.19,0.3512,-0.272,1.64094443735086
0.29,0.3512,-0.272,0.444459888714546
0.39,0.3512,-0.272,0.190245229380899
0.49,0.3512,-0.272,0.301080054993774
