"l","a","b","u"
0.09,-0.4488,-0.5827,0
0.19,-0.4488,-0.5827,-2.0301567564242
0.29,-0.4488,-0.5827,-3.04218801046086
0.39,-0.4488,-0.5827,-2.50328412374243
0.49,-0.4488,-0.5827,-1.82189891398137
0.59,-0.4488,-0.5827,-2.27561625063854
0.69,-0.4488,-0.5827,-2.67727675408843
0.79,-0.4488,-0.5827,-1.67870959984213
0.89,-0.4488,-0.5827,0.24755856695637
0.09,-0.3488,-0.5827,0.82029747554727
0.19,-0.3488,-0.5827,-1.20985928087693
0.29,-0.3488,-0.5827,-2.22189053491359
0.39,-0.3488,-0.5827,-1.68298664819516
0.49,-0.3488,-0.5827,-1.0016014384341
0.59,-0.3488,-0.5827,-1.45531877509127
0.69,-0.3488,-0.5827,-1.85697927854116
0.79,-0.3488,-0.5827,-0.858412124294859
0.89,-0.3488,-0.5827,1.06785604250364
0.09,-0.2488,-0.5827,1.33655314920375
0.19,-0.2488,-0.5827,-0.693603607220453
0.29,-0.2488,-0.5827,-1.70563486125711
0.39,-0.2488,-0.5827,-1.16673097453868
0.49,-0.2488,-0.5827,-0.485345764777616
0.59,-0.2488,-0.5827,-0.939063101434788
0.69,-0.2488,-0.5827,-1.34072360488468
0.79,-0.2488,-0.5827,-0.342156450638378
0.89,-0.2488,-0.5827,1.58411171616012
0.09,-0.1488,-0.5827,1.3499014078597
0.19,-0.1488,-0.5827,-0.680255348564503
0.29,-0.1488,-0.5827,-1.69228660260116
0.39,-0.1488,-0.5827,-1.15338271588273
0.49,-0.1488,-0.5827,-0.471997506121665
0.59,-0.1488,-0.5827,-0.925714842778838
0.69,-0.1488,-0.5827,-1.32737534622873
0.79,-0.1488,-0.5827,-0.328808191982428
0.89,-0.1488,-0.5827,1.59745997481607
0.09,-0.0488,-0.5827,1.08218139352957
0.19,-0.0488,-0.5827,-0.947975362894635
0.29,-0.0488,-0.5827,-1.96000661693129
0.39,-0.0488,-0.5827,-1.42110273021286
0.49,-0.0488,-0.5827,-0.739717520451797
0.59,-0.0488,-0.5827,-1.19343485710897
0.69,-0.0488,-0.5827,-1.59509536055886
0.79,-0.0488,-0.5827,-0.59652820631256
0.89,-0.0488,-0.5827,1.32973996048594
0.09,0.0512,-0.5827,0.860408437008852
0.19,0.0512,-0.5827,-1.16974831941535
0.29,0.0512,-0.5827,-2.18177957345201
0.39,0.0512,-0.5827,-1.64287568673358
0.49,0.0512,-0.5827,-0.961490476972514
0.59,0.0512,-0.5827,-1.41520781362969
0.69,0.0512,-0.5827,-1.81686831707958
0.79,0.0512,-0.5827,-0.818301162833277
0.89,0.0512,-0.5827,1.10796700396522
0.09,0.1512,-0.5827,0.916642616609942
0.19,0.1512,-0.5827,-1.11351413981426
0.29,0.1512,-0.5827,-2.12554539385092
0.39,0.1512,-0.5827,-1.58664150713249
0.49,0.1512,-0.5827,-0.905256297371424
0.59,0.1512,-0.5827,-1.3589736340286
0.69,0.1512,-0.5827,-1.76063413747849
0.79,0.1512,-0.5827,-0.762066983232187
0.89,0.1512,-0.5827,1.16420118356631
0.09,0.2512,-0.5827,1.10312300071282
0.19,0.2512,-0.5827,-0.927033755711387
0.29,0.2512,-0.5827,-1.93906500974805
0.39,0.2512,-0.5827,-1.40016112302961
0.49,0.2512,-0.5827,-0.718775913268549
0.59,0.2512,-0.5827,-1.17249324992572
0.69,0.2512,-0.5827,-1.57415375337561
0.79,0.2512,-0.5827,-0.575586599129312
0.89,0.2512,-0.5827,1.35068156766919
0.09,0.3512,-0.5827,1.17713340521435
0.19,0.3512,-0.5827,-0.853023351209852
0.29,0.3512,-0.5827,-1.86505460524651
0.39,0.3512,-0.5827,-1.32615071852808
0.49,0.3512,-0.5827,-0.644765508767015
0.59,0.3512,-0.5827,-1.09848284542419
0.69,0.3512,-0.5827,-1.50014334887408
0.79,0.3512,-0.5827,-0.501576194627777
0.89,0.3512,-0.5827,1.42469197217072
0.09,0.4512,-0.5827,0.966009190337313
0.19,0.4512,-0.5827,-1.06414756608689
0.29,0.4512,-0.5827,-2.07617882012355
0.39,0.4512,-0.5827,-1.53727493340512
0.49,0.4512,-0.5827,-0.855889723644054
0.59,0.4512,-0.5827,-1.30960706030123
0.69,0.4512,-0.5827,-1.71126756375111
0.79,0.4512,-0.5827,-0.712700409504816
0.89,0.4512,-0.5827,1.21356775729368
0.09,0.5512,-0.5827,0.577291893608042
0.19,0.5512,-0.5827,-1.45286486281616
0.29,0.5512,-0.5827,-2.46489611685282
0.39,0.5512,-0.5827,-1.92599223013439
0.49,0.5512,-0.5827,-1.24460702037333
0.59,0.5512,-0.5827,-1.6983243570305
0.69,0.5512,-0.5827,-2.09998486048039
0.79,0.5512,-0.5827,-1.10141770623409
0.89,0.5512,-0.5827,0.824850460564412
0.09,-0.4488,-0.4827,0.446376106088258
0.19,-0.4488,-0.4827,-1.58378065033595
0.29,-0.4488,-0.4827,-2.59581190437261
0.39,-0.4488,-0.4827,-2.05690801765417
0.49,-0.4488,-0.4827,-1.37552280789311
0.59,-0.4488,-0.4827,-1.82924014455028
0.69,-0.4488,-0.4827,-2.23090064800017
0.79,-0.4488,-0.4827,-1.23233349375387
0.89,-0.4488,-0.4827,0.693934673044628
0.09,-0.3488,-0.4827,1.26667358163553
0.19,-0.3488,-0.4827,-0.763483174788677
0.29,-0.3488,-0.4827,-1.77551442882534
