"l","a","b","u"
0.09,-0.448818898,-0.267716535,0
0.19,-0.448818898,-0.267716535,-0.230103892573098
0.29,-0.448818898,-0.267716535,-0.73493205790015
0.39,-0.448818898,-0.267716535,-1.62382215516873
0.49,-0.448818898,-0.267716535,-2.34456538930088
0.59,-0.448818898,-0.267716535,-2.32626505001339
0.69,-0.448818898,-0.267716535,-1.58481922046746
0.79,-0.448818898,-0.267716535,-0.302437610992999
0.89,-0.448818898,-0.267716535,1.26021835284953
0.09,-0.348818898,-0.267716535,-0.0352234140276239
0.19,-0.348818898,-0.267716535,-0.265327306600722
0.29,-0.348818898,-0.267716535,-0.770155471927774
0.39,-0.348818898,-0.267716535,-1.65904556919635
0.49,-0.348818898,-0.267716535,-2.37978880332851
0.59,-0.348818898,-0.267716535,-2.36148846404102
0.69,-0.348818898,-0.267716535,-1.62004263449508
0.79,-0.348818898,-0.267716535,-0.337661025020623
0.89,-0.348818898,-0.267716535,1.22499493882191
0.09,-0.248818898,-0.267716535,0.412721795617625
0.19,-0.248818898,-0.267716535,0.182617903044527
0.29,-0.248818898,-0.267716535,-0.322210262282525
0.39,-0.248818898,-0.267716535,-1.2111003595511
0.49,-0.248818898,-0.267716535,-1.93184359368326
0.59,-0.248818898,-0.267716535,-1.91354325439577
0.69,-0.248818898,-0.267716535,-1.17209742484983
0.79,-0.248818898,-0.267716535,0.110284184624626
0.89,-0.248818898,-0.267716535,1.67294014846716
0.09,-0.148818898,-0.267716535,1.5628873312451
0.19,-0.148818898,-0.267716535,1.332783438672
0.29,-0.148818898,-0.267716535,0.827955273344952
0.39,-0.148818898,-0.267716535,-0.0609348239236267
0.49,-0.148818898,-0.267716535,-0.781678058055783
0.59,-0.148818898,-0.267716535,-0.763377718768292
0.69,-0.148818898,-0.267716535,-0.0219318892223535
0.79,-0.148818898,-0.267716535,1.2604497202521
0.89,-0.148818898,-0.267716535,2.82310568409463
0.09,-0.048818898,-0.267716535,2.57785720971008
0.19,-0.048818898,-0.267716535,2.34775331713698
0.29,-0.048818898,-0.267716535,1.84292515180993
0.39,-0.048818898,-0.267716535,0.954035054541349
0.49,-0.048818898,-0.267716535,0.233291820409193
0.59,-0.048818898,-0.267716535,0.251592159696683
0.69,-0.048818898,-0.267716535,0.993037989242622
0.79,-0.048818898,-0.267716535,2.27541959871708
0.89,-0.048818898,-0.267716535,3.83807556255961
0.09,0.051181102,-0.267716535,2.35609852650431
0.19,0.051181102,-0.267716535,2.12599463393121
0.29,0.051181102,-0.267716535,1.62116646860416
0.39,0.051181102,-0.267716535,0.73227637133558
0.49,0.051181102,-0.267716535,0.0115331372034237
0.59,0.051181102,-0.267716535,0.0298334764909143
0.69,0.051181102,-0.267716535,0.771279306036853
0.79,0.051181102,-0.267716535,2.05366091551131
0.89,0.051181102,-0.267716535,3.61631687935384
0.09,0.151181102,-0.267716535,0.289251051303286
0.19,0.151181102,-0.267716535,0.0591471587301882
0.29,0.151181102,-0.267716535,-0.445681006596864
0.39,0.151181102,-0.267716535,-1.33457110386544
0.49,0.151181102,-0.267716535,-2.0553143379976
0.59,0.151181102,-0.267716535,-2.03701399871011
0.69,0.151181102,-0.267716535,-1.29556816916417
0.79,0.151181102,-0.267716535,-0.0131865596897128
0.89,0.151181102,-0.267716535,1.54946940415282
0.09,0.251181102,-0.267716535,-2.25835474948251
0.19,0.251181102,-0.267716535,-2.48845864205561
0.29,0.251181102,-0.267716535,-2.99328680738266
0.39,0.251181102,-0.267716535,-3.88217690465124
0.49,0.251181102,-0.267716535,-4.6029201387834
0.59,0.251181102,-0.267716535,-4.58461979949591
0.69,0.251181102,-0.267716535,-3.84317396994997
0.79,0.251181102,-0.267716535,-2.56079236047551
0.89,0.251181102,-0.267716535,-0.998136396632983
0.09,0.351181102,-0.267716535,-3.42921573525888
0.19,0.351181102,-0.267716535,-3.65931962783198
0.29,0.351181102,-0.267716535,-4.16414779315903
0.39,0.351181102,-0.267716535,-5.05303789042761
0.49,0.351181102,-0.267716535,-5.77378112455977
0.59,0.351181102,-0.267716535,-5.75548078527228
0.69,0.351181102,-0.267716535,-5.01403495572634
0.79,0.351181102,-0.267716535,-3.73165334625188
0.89,0.351181102,-0.267716535,-2.16899738240935
0.09,0.451181102,-0.267716535,-1.94493328516428
0.19,0.451181102,-0.267716535,-2.17503717773738
0.29,0.451181102,-0.267716535,-2.67986534306443
0.39,0.451181102,-0.267716535,-3.56875544033301
0.49,0.451181102,-0.267716535,-4.28949867446517
0.59,0.451181102,-0.267716535,-4.27119833517768
0.69,0.451181102,-0.267716535,-3.52975250563174
0.79,0.451181102,-0.267716535,-2.24737089615728
0.89,0.451181102,-0.267716535,-0.684714932314753
0.09,0.551181102,-0.267716535,1.15647314273213
0.19,0.551181102,-0.267716535,0.926369250159035
0.29,0.551181102,-0.267716535,0.421541084831983
0.39,0.551181102,-0.267716535,-0.467349012436595
0.49,0.551181102,-0.267716535,-1.18809224656875
0.59,0.551181102,-0.267716535,-1.16979190728126
0.69,0.551181102,-0.267716535,-0.428346077735322
0.79,0.551181102,-0.267716535,0.854035531739134
0.89,0.551181102,-0.267716535,2.41669149558166
0.09,-0.448818898,-0.167716535,5.11769111017413
0.19,-0.448818898,-0.167716535,4.88758721760103
0.29,-0.448818898,-0.167716535,4.38275905227398
0.39,-0.448818898,-0.167716535,3.4938689550054
0.49,-0.448818898,-0.167716535,2.77312572087325
0.59,-0.448818898,-0.167716535,2.79142606016074
0.69,-0.448818898,-0.167716535,3.53287188970668
0.79,-0.448818898,-0.167716535,4.81525349918113
0.89,-0.448818898,-0.167716535,6.37790946302366
0.09,-0.348818898,-0.167716535,5.08246769614651
0.19,-0.348818898,-0.167716535,4.85236380357341
0.29,-0.348818898,-0.167716535,4.34753563824636
0.39,-0.348818898,-0.167716535,3.45864554097778
0.49,-0.348818898,-0.167716535,2.73790230684562
0.59,-0.348818898,-0.167716535,2.75620264613311
0.69,-0.348818898,-0.167716535,3.49764847567905
0.79,-0.348818898,-0.167716535,4.78003008515351
0.89,-0.348818898,-0.167716535,6.34268604899604
0.09,-0.248818898,-0.167716535,5.53041290579176
0.19,-0.248818898,-0.167716535,5.30030901321866
0.29,-0.248818898,-0.167716535,4.79548084789161
0.39,-0.248818898,-0.167716535,3.90659075062303
0.49,-0.248818898,-0.167716535,3.18584751649087
0.59,-0.248818898,-0.167716535,3.20414785577836
0.69,-0.248818898,-0.167716535,3.9455936853243
0.79,-0.248818898,-0.167716535,5.22797529479876
0.89,-0.248818898,-0.167716535,6.79063125864129
0.09,-0.148818898,-0.167716535,6.68057844141923
0.19,-0.148818898,-0.167716535,6.45047454884613
0.29,-0.148818898,-0.167716535,5.94564638351908
0.39,-0.148818898,-0.167716535,5.0567562862505
0.49,-0.148818898,-0.167716535,4.33601305211835
0.59,-0.148818898,-0.167716535,4.35431339140584
0.69,-0.148818898,-0.167716535,5.09575922095178
0.79,-0.148818898,-0.167716535,6.37814083042623
0.89,-0.148818898,-0.167716535,7.94079679426876
0.09,-0.048818898,-0.167716535,7.69554831988421
0.19,-0.048818898,-0.167716535,7.46544442731111
0.29,-0.048818898,-0.167716535,6.96061626198406
0.39,-0.048818898,-0.167716535,6.07172616471548
0.49,-0.048818898,-0.167716535,5.35098293058332
0.59,-0.048818898,-0.167716535,5.36928326987081
0.69,-0.048818898,-0.167716535,6.11072909941675
0.79,-0.048818898,-0.167716535,7.39311070889121
0.89,-0.048818898,-0.167716535,8.95576667273374
0.09,0.051181102,-0.167716535,7.47378963667844
0.19,0.051181102,-0.167716535,7.24368574410534
